"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 07:40:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 07:40:00","slave_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 07:40:00","slave_shaft_motor_heat",41.8,41,42
"bst2000-201383","2022-08-02 07:30:00","master_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 07:30:00","master_shaft_motor_heat",40.0,40,40
"bst2000-201383","2022-08-02 07:30:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 07:30:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 07:30:00","slave_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 07:30:00","slave_shaft_motor_heat",42.4,42,43
"bst2000-201383","2022-08-02 07:20:00","master_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 07:20:00","master_shaft_motor_heat",40.8,40,41
"bst2000-201383","2022-08-02 07:20:00","pusher_left_motor_heat",28.8,28,29
"bst2000-201383","2022-08-02 07:20:00","pusher_right_motor_heat",28.4,28,29
"bst2000-201383","2022-08-02 07:20:00","slave_shaft_drive_heat",33.4,33,34
"bst2000-201383","2022-08-02 07:20:00","slave_shaft_motor_heat",43.0,43,43
"bst2000-201383","2022-08-02 07:10:00","master_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 07:10:00","master_shaft_motor_heat",41.5,41,42
"bst2000-201383","2022-08-02 07:10:00","pusher_left_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 07:10:00","pusher_right_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 07:10:00","slave_shaft_drive_heat",34.0,34,34
"bst2000-201383","2022-08-02 07:10:00","slave_shaft_motor_heat",44.0,44,44
"bst2000-201383","2022-08-02 07:00:00","master_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 07:00:00","master_shaft_motor_heat",42.2,42,43
"bst2000-201383","2022-08-02 07:00:00","pusher_left_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 07:00:00","pusher_right_motor_heat",29.0,29,29
